[12/Nov/2024 20:12:34] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 101437.6, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:35] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 101436.2, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:35] {'latitude': 0, 'longitude': 0, 'altitude': 0.1, 'pressure': 101434, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:36] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': 101434.8, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:36] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 10143, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[12/Nov/2024 20:12:37] {'latitude': 0, 'longitude': 0, 'altitude': 0.1, 'pressure': 101434, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:37] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 101436.2, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:38] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': 101434.8, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:38] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 101436.1, 'x_rotation': -1, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[12/Nov/2024 20:12:39] {'latitude': 0, 'longitude': 0, 'altitude': 0, 'pressure': 101434.8, 'x_rotation': -9, 'y_rotation': -9, 'z_rotation': -34, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[12/Nov/2024 20:12:39] {'latitude': 0, 'longitude': 0, 'altitude': 0.5, 'pressure': 101429.3, 'x_rotation': -28, 'y_rotation': -8, 'z_rotation': -9, 'temperature': 22.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
